asymmetric,cafkafk,djacu,doronbehar,Ericson2314,fpletz,Gabriella439,getchoo,Infinidoge,jtojnar,kloenk,linsui,lovesegfault,mschwaig,numinit,nyabinary,phaer,proofconstruction,roberth,Scrumplex,tomberek,winterqt,yu-re-ka
1,1,1,1,1,1,19,22,1,18,1,1,21,17,1,1,1,1,1,20,1,23,1
22,1,1,1,21,1,1,1,1,20,1,1,1,1,1,1,1,1,23,1,19,1,1
8,1,13,15,21,2,20,4,7,19,6,10,17,14,12,18,3,11,22,5,23,9,16
11,2,5,15,18,13,3,4,17,21,12,23,16,14,7,1,10,8,22,20,19,9,6
1,1,1,1,1,22,23,1,1,1,1,1,1,1,21,1,20,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,1,1
1,21,1,1,17,1,23,16,20,15,1,1,13,1,1,1,19,12,18,1,1,22,14
22,1,1,20,1,1,23,1,1,1,1,1,21,1,1,1,1,1,1,1,1,1,1
1,1,1,1,22,1,17,19,1,23,1,1,1,1,1,1,1,1,21,1,20,18,1
23,17,1,1,18,1,20,1,1,1,1,1,1,1,1,1,21,19,1,1,22,1,1
12,16,2,5,7,19,20,14,15,21,18,13,4,10,3,9,11,6,8,17,1,23,22
17,23,1,1,1,13,19,18,15,1,14,1,1,1,1,1,16,1,1,20,1,22,21
1,1,1,1,1,19,1,1,21,1,1,1,22,1,1,1,23,20,16,17,1,18,1
17,1,23,18,1,1,1,1,1,20,1,1,1,1,1,1,1,22,21,1,19,1,1
15,21,1,1,17,1,20,1,1,1,1,1,23,1,1,16,1,19,18,1,1,22,1
19,9,2,17,22,21,16,13,4,20,5,8,18,11,1,3,12,15,23,10,14,7,6
1,1,1,1,1,18,1,23,14,19,1,1,15,17,13,12,21,22,20,1,16,1,1
1,1,1,1,1,21,1,20,1,23,1,19,22,18,1,17,1,1,16,1,1,1,1
23,17,21,15,3,8,22,16,4,12,9,6,10,20,7,19,13,2,18,11,5,14,1
1,1,1,19,23,1,1,20,1,17,1,1,21,1,1,1,18,1,1,1,22,1,16
1,16,1,1,23,21,22,1,1,20,1,1,19,1,1,1,18,15,17,1,14,1,1
15,16,3,4,22,20,2,9,13,21,14,23,8,7,5,19,11,10,18,6,17,1,12
19,1,14,1,13,21,11,1,1,1,20,1,18,17,1,1,23,10,16,15,9,12,22
1,1,1,1,22,19,21,17,1,1,1,1,1,18,1,1,1,1,20,1,23,1,1
1,1,1,1,1,1,23,20,1,1,1,1,21,1,19,1,1,1,1,1,1,22,1
1,21,1,23,1,1,19,1,1,18,20,1,1,1,1,22,1,1,1,1,1,1,1
1,1,1,22,1,17,1,21,1,20,1,1,18,1,1,1,1,1,1,23,1,19,1
1,1,1,1,1,1,23,1,1,1,1,1,1,1,1,1,20,1,22,1,21,1,1
1,1,1,1,21,1,1,1,1,1,1,1,1,1,1,1,1,1,22,1,23,1,1
20,1,1,1,23,1,1,1,1,1,1,1,1,1,1,1,1,1,21,1,22,19,1
1,23,1,1,1,1,19,22,15,13,1,1,18,1,1,21,16,12,1,17,14,20,1
1,1,1,1,23,17,1,1,1,20,18,1,1,19,1,1,1,1,21,1,22,1,1
1,14,1,1,1,17,21,13,16,19,18,15,1,1,1,12,1,1,1,20,1,22,23
1,14,15,1,22,1,1,20,1,1,1,1,16,1,1,1,19,1,18,1,23,21,17
1,1,1,1,1,1,22,21,1,1,1,1,1,1,1,1,1,1,1,1,23,1,1
1,1,21,19,22,1,1,1,1,18,1,14,16,1,15,1,1,20,17,13,23,1,1
16,1,1,1,22,21,1,1,1,18,1,1,19,1,1,1,1,1,1,1,17,23,20
1,1,1,1,21,1,23,1,1,1,1,1,1,1,1,1,1,19,22,1,20,18,1
4,20,5,15,10,17,1,6,7,12,13,1,14,22,16,23,18,19,8,21,1,11,9
8,3,21,20,4,11,19,5,14,13,9,17,16,7,23,1,18,6,2,10,22,15,12
6,21,2,14,23,22,17,9,8,19,15,18,12,11,13,3,1,5,7,10,4,16,20
1,1,1,1,20,22,21,1,1,1,18,1,1,1,1,1,17,1,19,1,1,1,23
21,22,1,1,1,18,23,1,17,16,10,1,1,15,1,20,13,14,12,19,1,11,9
1,1,1,1,21,1,1,1,1,22,1,1,1,1,1,1,1,1,23,1,1,1,1
12,2,18,14,23,10,1,21,16,13,4,3,8,17,22,9,7,5,15,6,20,19,11
15,19,1,8,1,21,23,9,10,16,6,7,11,17,1,12,1,14,20,18,1,13,22
12,1,1,1,1,17,19,15,16,18,22,14,1,1,1,13,1,11,1,20,1,21,23
1,1,22,19,15,18,1,1,17,1,1,1,1,1,16,1,1,1,23,1,21,1,20
14,19,1,1,1,23,20,10,11,22,16,17,1,1,1,9,13,1,15,12,1,21,18
15,14,20,1,18,1,1,1,1,1,1,1,21,1,16,1,19,17,23,1,22,1,1
15,6,5,7,19,11,20,23,8,2,10,1,18,3,9,14,4,22,21,17,16,13,12
12,18,1,7,19,11,10,22,17,16,6,3,8,4,5,9,20,15,13,21,2,14,23
6,21,7,2,5,22,13,17,14,19,3,1,15,4,11,20,10,18,8,9,16,23,12
1,1,1,21,18,1,1,1,1,22,1,1,19,1,1,1,1,1,1,17,1,23,20
1,19,1,1,23,1,1,1,1,20,1,1,1,1,1,1,1,1,22,1,21,1,1
20,1,22,1,1,1,1,16,1,1,1,1,1,18,21,15,17,1,19,1,23,1,1
19,14,1,11,17,1,1,1,1,21,1,1,18,13,1,1,1,12,22,16,15,20,23
1,21,1,1,1,1,1,1,1,1,1,1,23,1,1,1,22,1,20,1,19,1,1
1,1,1,1,1,1,22,1,1,1,1,1,23,1,19,1,21,1,20,1,1,1,1
17,1,1,1,22,15,16,1,1,1,1,1,18,14,1,1,19,20,23,1,21,1,1
1,1,1,19,15,1,22,1,20,21,1,1,17,1,1,1,1,1,23,18,16,1,1
1,19,1,1,1,1,23,17,1,1,1,1,1,16,1,22,21,18,1,20,1,1,1
1,1,1,1,23,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,23,1,1,1,1,1,1,1,1,1,1,1,1,1,21,1,22,1,1
17,19,1,1,1,1,14,21,1,1,1,1,1,20,1,18,1,22,23,1,16,15,1
15,10,1,12,22,19,23,8,9,20,13,2,16,14,11,6,3,4,21,7,18,17,5
14,6,15,13,22,12,8,1,1,19,1,1,21,11,18,7,10,9,20,17,23,16,1
13,8,3,12,15,16,4,1,11,21,2,7,17,6,18,14,9,5,23,10,20,22,19
1,1,1,1,23,1,1,1,1,21,1,1,1,1,1,1,1,1,1,1,22,1,1
15,1,1,18,12,17,20,1,1,19,22,10,16,9,1,14,1,1,11,13,1,23,21
13,14,1,1,17,12,15,1,1,23,1,1,1,21,1,1,18,1,20,1,19,16,22
22,21,1,1,1,1,23,17,18,15,1,1,1,14,1,16,20,13,12,19,1,1,1
20,16,1,15,21,1,18,1,1,17,1,1,1,1,1,1,1,23,19,1,22,1,14
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,1,1,1,22,1,1
8,7,6,22,19,15,13,10,11,21,16,5,17,12,14,20,4,9,2,3,1,23,18
1,1,1,1,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,22,23,1,1,1,1,21,1,1,20,1,1,1,1,1,19,1,1,1,1
18,1,1,20,23,15,1,1,1,19,14,1,13,1,16,1,1,17,22,1,21,1,1
14,18,1,1,20,17,19,15,1,22,1,1,1,1,1,16,21,13,23,12,11,1,1
1,1,1,1,18,1,19,1,1,21,1,1,1,1,1,1,1,20,22,1,23,1,1
14,1,1,16,18,19,1,1,1,23,15,1,22,1,1,1,1,1,21,1,20,1,17
1,17,1,1,1,19,23,1,22,1,1,18,1,1,1,1,1,1,20,1,1,21,1
1,1,1,1,23,1,1,1,1,22,1,20,1,1,1,1,1,1,1,1,1,1,21
1,1,1,1,1,23,1,1,1,21,1,1,20,19,1,1,22,1,1,1,1,1,18
23,4,20,9,18,10,5,7,3,19,2,8,14,11,16,1,17,22,21,12,15,13,6
15,18,3,9,23,19,13,20,12,16,6,8,17,5,11,2,10,1,14,7,22,21,4
13,1,1,1,20,19,1,18,17,21,1,1,16,12,15,22,23,1,14,1,11,1,1
17,1,1,20,23,1,18,1,1,1,1,1,1,1,1,1,1,1,22,1,21,19,1
23,1,1,1,20,17,1,1,1,1,1,1,1,1,21,1,16,22,19,1,18,1,1
11,10,1,1,8,20,22,16,17,21,1,15,1,14,1,1,12,13,9,18,1,23,19
